#Name Omega0 sigma8 WindEnergyIn1e51erg RadioFeedbackFactor VariableWindVelFactor RadioFeedbackReiorientationFactor OmegaBaryon HubbleParam n_s MaxSfrTimescale FactorForSofterEQS IMFslope SNII_MinMass_Msun ThermalWindFraction VariableWindSpecMomentum WindFreeTravelDensFac MinWindVel WindEnergyReductionFactor WindEnergyReductionMetallicity WindEnergyReductionExponent WindDumpFactor SeedBlackHoleMass BlackHoleAccretionFactor BlackHoleEddingtonFactor BlackHoleFeedbackFactor BlackHoleRadiativeEfficiency QuasarThreshold QuasarThresholdPower seed
1P_p25_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.2   0.2 0.002     2    67
1P_p25_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.4   0.2 0.002     2    67
1P_p26_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1  0.05 0.002     2    67
1P_p26_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.1 0.002     2    67
1P_p26_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p26_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.4 0.002     2    67
1P_p26_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.8 0.002     2    67
1P_p27_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 6.33e-05  2    67
1P_p27_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.0003558 2    67
1P_p27_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p27_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.01124   2    67
1P_p27_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.0632    2    67
1P_p28_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     0    67
1P_p28_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     1    67
1P_p28_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p28_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     3    67
1P_p28_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     4    67
